2015-07-15 11:06:22,1.67
2015-07-15 11:36:46,1.6
2015-07-15 12:07:13,1.51
2015-07-15 12:39:12,1.8
2015-07-15 13:09:24,1.56
2015-07-15 13:39:38,1.42
2015-07-15 14:09:51,1.4
2015-07-15 14:40:05,1.66
2015-07-15 15:10:18,1.62
2015-07-15 15:40:31,2.01
2015-07-15 16:10:55,1.68
2015-07-15 16:41:11,1.58
2015-07-15 17:11:26,1.47
2015-07-15 17:41:42,1.45
2015-07-15 18:11:59,1.4
2015-07-15 18:42:16,1.52
2015-07-15 19:12:31,1.46
2015-07-15 19:42:47,3.21
2015-07-15 20:13:03,1.53
2015-07-15 20:43:18,1.55
2015-07-15 21:13:33,1.38
2015-07-15 21:43:50,1.6
2015-07-15 22:14:06,1.49
2015-07-15 22:44:28,1.47
2015-07-15 23:14:40,1.51
2015-07-15 23:44:57,1.64
2015-07-16 00:15:13,1.69
2015-07-16 00:45:28,1.54
2015-07-16 01:15:44,1.44
2015-07-16 01:46:16,1.9
2015-07-16 02:16:32,1.75
2015-07-16 02:46:47,1.56
